"id","TransOutE","Lon1","Lat1","LonLat1","BusinessE","Lon2","Lat2","LonLat2","LineLonLat","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"207","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","33.57","33.57","NULL","NULL"
"208","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.6","NULL","NULL","NULL"
"209","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.01","34.01","NULL","NULL"
"210","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"211","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","34.4","34.4","NULL","NULL"
"212","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","34.11","34.11","NULL","NULL"
"213","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","[115.219928,38.182801],[122.409791,43.007686]","废旧铅酸蓄电池","900-052-31","33.925","33.925","NULL","NULL"
"214","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.095","34.095","NULL","NULL"
"215","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","34.05","34.05","NULL","NULL"
"216","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","34.09","34.09","NULL","NULL"
"217","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.65","33.65","NULL","NULL"
"218","石家庄钢铁有限责任公司特殊钢分公司","114.565246","38.055819","114.565246,38.055819","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","[114.565246,38.055819],[113.298350,40.780466]","电炉除尘灰","312-001-23","33.35","33.35","NULL","NULL"
"219","石家庄佳硕废铅蓄电池回收有限公司","115.219928","38.182801","115.219928,38.182801","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[115.219928,38.182801],[112.477247,35.093538]","废旧铅酸蓄电池","900-052-31","33.77","33.77","NULL","NULL"
"220","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","[114.594458,38.075727],[122.409791,43.007686]","废铅蓄电池","900-052-31","33.97","33.97","NULL","NULL"
"221","石家庄市庆海物资再生利用有限公司","114.594458","38.075727","114.594458,38.075727","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","[114.594458,38.075727],[112.477247,35.093538]","废铅蓄电池","900-052-31","33.61","33.61","NULL","NULL"
