"id","BusinessE","Lon2","Lat2","LonLat2","HWName","HWcode","TransferV","ActualReceiveV","TransferDate","ReceiptDate"
"215","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.05","34.05","NULL","NULL"
"216","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","34.09","34.09","NULL","NULL"
"217","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.65","33.65","NULL","NULL"
"218","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.35","33.35","NULL","NULL"
"219","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.77","33.77","NULL","NULL"
"220","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废铅蓄电池","900-052-31","33.97","33.97","NULL","NULL"
"221","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.61","33.61","NULL","NULL"
"222","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.95","33.95","NULL","NULL"
"223","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.95","32.95","NULL","NULL"
"224","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.5","33.5","NULL","NULL"
"225","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.9","34.9","NULL","NULL"
"226","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.565","33.565","NULL","NULL"
"227","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.98","33.98","NULL","NULL"
"228","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废铅蓄电池","900-052-31","33.23","33.23","NULL","NULL"
"229","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.67","33.67","NULL","NULL"
"230","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.325","34.325","NULL","NULL"
"231","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.075","34.075","NULL","NULL"
"232","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"233","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.05","34.05","NULL","NULL"
"234","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","32.35","32.35","NULL","NULL"
"235","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.4","33.4","NULL","NULL"
"236","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.28","34.28","NULL","NULL"
"237","通辽泰鼎有色金属加工有限公司","122.409791","43.007686","122.409791,43.007686","废旧铅酸蓄电池","900-052-31","34.435","34.435","NULL","NULL"
"238","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","33.67","33.67","NULL","NULL"
"239","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.01","34.01","NULL","NULL"
"240","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.225","34.225","NULL","NULL"
"241","济源市聚鑫资源综合利用有限公司","112.477247","35.093538","112.477247,35.093538","废旧铅酸蓄电池","900-052-31","34.05","34.05","NULL","NULL"
"242","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","34.45","34.45","NULL","NULL"
"243","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","33.75","33.75","NULL","NULL"
"244","内蒙古辰东循环利用科技有限公司","113.298350","40.780466","113.298350,40.780466","电炉除尘灰","312-001-23","35.05","35.05","NULL","NULL"
