entid,indName
0278537871534519976bde77c56eedd6,机制纸及纸板制造
027c808bff394af987e4d2c347eb0733,大型车辆装备修理与维护
027c8d1f3e634946a6ca45f93e14d770,其他橡胶制品制造
027fc7af729f4870ac1ec18a5d4c90fe,电线、电缆制造
0281c9e59ca84b8eacd2e900a8db60ec,金属结构制造
0283464eed8644f1bae527cbb8032b6a,有机化学原料制造
028670a50d694c548327ace9a9d201f5,金属丝绳及其制品制造
02870846bd384b408cc02adfa4cf283b,钢压延加工
0289e10026a2444e97717994bc09f2cd,其他基础化学原料制造
028ac81da43449ed9a291e35df737d8f,汽车零部件及配件制造
028bcc1a8e5541c2937c12dccacf420a,公路工程建筑
028d172215c4442b9a07a539108e8eb0,污水处理及其再生利用
028d5da4b1fb4eefa9cda7a670a8273f,专科医院
028d9626e9d142b8a0f5fc2d27e13d4a,其他方便食品制造
028e28f7a98a4553b89c595f94683e41,污水处理及其再生利用
02933fd7bd1f45648ffd7f8b803e1a16,综合医院
02940bff37eb44608437c2de5ee5355e,汽车修理与维护
0294eb41efd343babfe96c3a941f616b,兽用药品制造
029b7bf605db4317b9d99a036de4d4b3,其他未列明金属制品制造
02a09f93ce8b49aab0b332eb0298f0d0,汽车修理与维护
02a3e4af1326452c9784ed74c2ba68ed,泵及真空设备制造
02a6ce34f46441d1a6694c094a8e4baa,计算机外围设备制造
02aa06af45e14e378efee448964809e4,金属表面处理及热处理加工
02aabe0a222a48c0b07409127bd508a9,塑料薄膜制造
02ab64b585bc4df18d9b55dabf71266d,其他人造板制造
02ac931bbbcf46bbbbc91227fc125da9,汽车修理与维护
02b3940aa146403ea64c16fe7b7fc6c0,其他建筑材料制造
02b397b1962a4130a9d38a0aebf20de4,其他未列明通用设备制造业
02b930f2f4934e54ad3f4329b6619299,其他专用设备制造
02b95ec0db3c4b83aca65a0683c95588,食品及饲料添加剂制造
02bed2cac152473a9d2569e25176b350,检测服务
02bf84a18aa5453994312c2fe152a2ee,汽车修理与维护
02c3c713899e41da9762a2249352befa,危险废物治理
02cadd5f2d5149bb865d22a0b5b9f362,包装装潢及其他印刷
02cde33d487d4c8d8273d362b548bc3b,汽车新车零售
02d28df528db41049a017742b90e5d31,其他常用有色金属冶炼
02d62518c73f4a318447f1c1e6df928b,包装装潢及其他印刷
02d63df9e68d4afd984ee912539cda70,其他常用有色金属冶炼
02d85d44066f46e09140fb772a5cbccb,其他纸制品制造
02d9603ce3f54706b50a619917c6ba5f,其他水利管理业
02d9bde0ac214d85a8d170612992e41d,危险废物治理
02da318b7c3d4d4988420695a312a0e0,汽车修理与维护
02de103fd0e441c4b1cfb1804a19644d,食品、酒、饮料及茶生产专用设备制造
02e010d148804d99a4126bbaa34e50ce,塑料零件及其他塑料制品制造
02e0604409a14a0792dd487ab81f3284,汽车修理与维护
02e62566bb9f4a94b23467b4b0e45641,墨水、墨汁制造
02e82a35fa144ca7a1237ea41c27e50e,机械零部件加工
02ebdfd52455458b94b729f76f394a16,中药饮片加工
02f3d32314174690be48d4e0f1d4daa1,有色金属铸造
02f5e6186bc34e65b1714a4a0dd68a1e,塑料零件及其他塑料制品制造
02f6b69fe9254cc899b1961a7c54e833,其他建筑、安全用金属制品制造
02fa572384394f96a8213f08a0509d2c,日用及医用橡胶制品制造
02fa65e1e1e9477a8e01e47259de3dc3,黑色金属铸造
030130b92c0e42ee81493f9c927f9fa3,机动车燃油零售
030482286b134bf5adf9b2020f2eee5c,生物质能发电
0306d0fb3ca0450aae3d74af9032467a,其他专用化学产品制造
0307dc96f66f42c2b8dfc3a308b0b1e7,塑料零件及其他塑料制品制造
030ac4d09f4343b8a6286b80ca8046d8,包装装潢及其他印刷
030d0fafd25b467ea32d92b6f766edfb,金属表面处理及热处理加工
0313c0439b934c59a7e0b8794bb3ccb5,其他乐器及零件制造
03152fd894fb466ba010bec8075b3a97,水污染治理
031cc838584a44d8b4f2783355ba7125,汽车修理与维护
031e0db8adc148f78c5673c6da4b4e40,其他日用杂品制造
0320f7b1cbf54f08b268025bb1467855,其他电力生产
03233263625f4e66bd011c64fffbdedd,其他谷物种植
032374b3a8b94826bec43a610d667b20,黑色金属铸造
0323a17c90144db782680c288ff956b9,塑料薄膜制造
03248ca8e151478cbe56abe020f4b6a1,汽车修理与维护
032775462dc54922b312e59c9323e4ed,单板加工
0327be65ed0e49f3afcf1e94bc97ad3d,防水建筑材料制造
0327f46a95ed42e297de6a66c94e9b4a,其他制鞋业
03294438847345e9937ec970aef886fd,黑色金属铸造
03317ce8dff4497a80817270d82fb1c7,其他金属工具制造
03345b81d5654c0289703ec51fcad9a2,水泥制造
03365509889244d3820296dcb7fd347a,木质家具制造
033c4f7ccbc34bbb9b489401fda8842c,金属丝绳及其制品制造
033db804e1154bf39031fb5778427f58,紧固件制造
033e9f57889c4d00b6f3f867f84f28ff,兽用药品制造
033ece73a219462fa42b7554e58b3091,其他仓储业
03450910c1cc4c5088ddc96fc85f4544,包装装潢及其他印刷
03462ddc80a441099575acda813651f5,其他通用零部件制造
0349fab23a5f4a8ba42bf3b1650a1a5b,金属表面处理及热处理加工
034d4f0ae0164cbfad81112ae93eb10a,无机盐制造
03503fb80de84ec5bf4a4cd988ef1c06,橡胶零件制造
035163e2c7c94d06991afd2f262c4b29,其他水泥类似制品制造
035e3decda2c4be3b63c5474bd136464,纺织面料鞋制造
0360155c00f64c3a9cc3ea80e372a05e,金属表面处理及热处理加工
036339b93de84212a7ba31b45a07e394,橡胶板、管、带制造
0363bec0d9cc456087547338a4937d6d,日用塑料制品制造
03692be385db4855912d8d1c389bb490,汽车修理与维护
036c1c813985432a897e83f10ac38e83,齿轮及齿轮减、变速箱制造
036d987f6bd34a079cf9e2978f1dd43c,水泥制造
037011e73ce649bb823baff60703fa20,金属结构制造
03708a614c624fe49a6373c583b8c161,塑料丝、绳及编织品制造
03710cd33af34d7ba5d971f254721581,塑料零件及其他塑料制品制造
03712afc4541421fa307dfcfb475e39a,其他玻璃制品制造
037164d8977340889f0eac7c6c73ebb9,其他建筑材料制造
0373035bbecb420abb97f040031c3b6c,橡胶板、管、带制造
03772d2d9e1a4f928406fff11f2e4607,金属结构制造
03772f15c13c440080dbe028b40cda03,塑料板、管、型材制造
0377c72185db4a88b44cd26cb0c20970,金属制餐具和器皿制造
037a7607d63f428b82768589aa2ba96a,综合医院
037b87acad5b4486a4cc5983e20bddf8,金属表面处理及热处理加工
038073081e034cd497a069f9b4df1fe2,金属结构制造
03854d8527c24e21ac74e1c50156e9cb,非金属船舶制造
0388a4aaa5d14cab82089c6ede82c113,其他人造板制造
038cb90443b040aa9a5e7902e72a0a30,其他橡胶制品制造
